Frame	Time	handball_6 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
2131	7.10000	514.88570	22.71152	1151.49705	-78.50307	-43.43115	145.26674	1.83867	-0.59680	-0.44008	-0.67093	-0.41376	-0.54764	0.72725	-0.68748	0.71163	0.14474	
2132	7.10333	518.93947	19.57638	1151.00424	-79.35275	-42.99160	145.00919	1.83439	-0.59924	-0.44307	-0.66679	-0.41945	-0.53566	0.73289	-0.68189	0.71886	0.13514	
2133	7.10667	523.04326	16.34735	1150.65407	-80.25066	-42.50459	144.63591	1.84947	-0.60120	-0.44502	-0.66371	-0.42668	-0.52349	0.73749	-0.67565	0.72658	0.12484	
2134	7.11000	527.16611	12.96215	1150.42863	-81.13656	-41.99813	144.26776	1.83066	-0.60327	-0.44668	-0.66071	-0.43401	-0.51117	0.74185	-0.66911	0.73429	0.11451	
2135	7.11333	531.36774	9.65971	1150.34591	-81.97425	-41.59570	143.93857	1.82949	-0.60455	-0.44922	-0.65781	-0.44022	-0.49983	0.74591	-0.66387	0.74052	0.10441	
2136	7.11667	535.62544	6.09911	1150.40904	-82.90970	-41.13228	143.48236	1.83796	-0.60532	-0.45116	-0.65577	-0.44820	-0.48764	0.74921	-0.65780	0.74743	0.09297	
2137	7.12000	539.85536	2.55782	1150.64950	-83.80811	-40.71304	143.04907	1.82508	-0.60574	-0.45338	-0.65385	-0.45565	-0.47601	0.75220	-0.65227	0.75356	0.08176	
2138	7.12333	544.07171	-1.03477	1151.08861	-84.71457	-40.28820	142.60033	1.82649	-0.60598	-0.45556	-0.65211	-0.46330	-0.46426	0.75486	-0.64663	0.75956	0.07027	
2139	7.12667	548.29273	-4.53022	1151.68040	-85.60581	-39.80280	142.12384	1.83589	-0.60641	-0.45677	-0.65087	-0.47167	-0.45235	0.75691	-0.64015	0.76599	0.05886	
2140	7.13000	552.54625	-8.02298	1152.50455	-86.51884	-39.40340	141.65370	1.83359	-0.60601	-0.45925	-0.64950	-0.47939	-0.44072	0.75892	-0.63478	0.77127	0.04692	
2141	7.13333	556.86033	-11.64219	1153.51076	-87.46264	-38.92665	141.14310	1.85263	-0.60580	-0.46103	-0.64842	-0.48807	-0.42828	0.76050	-0.62832	0.77719	0.03444	
2142	7.13667	561.16740	-15.27984	1154.66961	-88.48049	-38.48876	140.58464	1.85407	-0.60471	-0.46381	-0.64746	-0.49698	-0.41551	0.76181	-0.62236	0.78246	0.02076	
2143	7.14000	565.36046	-18.82422	1156.01571	-89.26714	-37.95234	140.11026	1.83827	-0.60502	-0.46364	-0.64730	-0.50569	-0.40419	0.76217	-0.61501	0.78846	0.01009	
2144	7.14333	569.56388	-22.47369	1157.57818	-90.17845	-37.43354	139.54100	1.81215	-0.60418	-0.46451	-0.64746	-0.51527	-0.39206	0.76210	-0.60784	0.79406	-0.00247	
2145	7.14667	574.11385	-26.44263	1159.57150	-91.31776	-36.94437	138.64890	2.26735	-0.59995	-0.46626	-0.65012	-0.52802	-0.37972	0.75961	-0.60104	0.79901	-0.01838	
2146	7.15000	578.17396	-29.88317	1161.65490	-92.07311	-36.35204	138.28708	2.04306	-0.60121	-0.46626	-0.64896	-0.53591	-0.36715	0.76027	-0.59274	0.80486	-0.02913	
2147	7.15333	582.26901	-33.56185	1164.03847	-92.93661	-35.65459	137.75529	1.98252	-0.60151	-0.46538	-0.64931	-0.54627	-0.35344	0.75938	-0.58290	0.81148	-0.04163	
2148	7.15667	586.52307	-37.09967	1166.69116	-93.83012	-35.06475	137.32353	2.08022	-0.60176	-0.46671	-0.64813	-0.55483	-0.33945	0.75956	-0.57450	0.81668	-0.05467	
2149	7.16000	590.61526	-40.61349	1169.52460	-94.59752	-34.43114	136.87695	2.02548	-0.60202	-0.46615	-0.64829	-0.56381	-0.32675	0.75852	-0.56542	0.82215	-0.06611	
2150	7.16333	594.57663	-44.21326	1172.68787	-95.37100	-33.73399	136.37186	2.04483	-0.60196	-0.46479	-0.64932	-0.57380	-0.31373	0.75652	-0.55534	0.82797	-0.07784	
2151	7.16667	598.52099	-47.74838	1176.06798	-96.13560	-33.06569	135.85306	2.05615	-0.60134	-0.46370	-0.65067	-0.58370	-0.30114	0.75406	-0.54560	0.83325	-0.08957	
