FILE_VERSION	2.0.0
NO_OF_FRAMES	16296
NO_OF_CAMERAS	8
NO_OF_MARKERS	6
FREQUENCY	300
DESCRIPTION	--
TIME_STAMP	2026-08-06, 08:59:33.376	5996.27357670
DATA_INCLUDED	3D
MARKER_NAMES	handball_6 - 1	handball_6 - 2	handball_6 - 3	handball_6 - 4	handball_6 - 5	handball_6 - 6
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	handball_6 - 1 X	handball_6 - 1 Y	handball_6 - 1 Z	handball_6 - 2 X	handball_6 - 2 Y	handball_6 - 2 Z	handball_6 - 3 X	handball_6 - 3 Y	handball_6 - 3 Z	handball_6 - 4 X	handball_6 - 4 Y	handball_6 - 4 Z	handball_6 - 5 X	handball_6 - 5 Y	handball_6 - 5 Z	handball_6 - 6 X	handball_6 - 6 Y	handball_6 - 6 Z	
93	0.30667	77.788	1028.078	1069.293	255.841	1054.747	1154.067	116.165	1137.066	1146.641	166.327	1031.656	1014.249	131.145	1004.227	1194.942	188.637	953.529	1100.144
94	0.31000	77.278	1027.940	1068.644	255.275	1053.723	1154.221	119.976	1137.445	1148.037	166.179	1031.156	1013.997	130.085	1003.697	1194.491	187.656	952.858	1099.769
95	0.31333	76.829	1027.735	1067.981	254.523	1052.848	1154.363	119.714	1137.000	1147.725	166.007	1030.658	1013.704	128.992	1003.292	1193.925	186.890	952.320	1099.585
96	0.31667	76.538	1027.471	1067.221	254.006	1051.869	1154.490	119.325	1136.468	1147.372	165.918	1030.042	1013.310	127.831	1002.796	1193.323	186.122	951.665	1099.390
97	0.32000	76.259	1027.115	1066.433	253.226	1051.005	1154.613	114.879	1135.331	1144.794	165.915	1029.487	1012.953	127.218	1002.145	1192.987	185.528	950.966	1099.130
98	0.32333	76.053	1026.769	1065.704	252.828	1050.049	1154.774	114.640	1134.880	1144.231	166.024	1028.912	1012.622	125.942	1001.673	1192.449	184.952	950.301	1098.767
99	0.32667	75.817	1026.336	1064.982	254.204	1047.303	1155.333	116.081	1134.287	1144.353	166.120	1028.367	1012.249	125.453	1000.959	1192.094	184.381	949.706	1098.573
100	0.33000	75.604	1025.892	1064.323	251.651	1048.380	1155.056	117.750	1134.313	1145.332	166.250	1027.669	1012.088	124.195	1000.513	1191.503	183.895	949.005	1098.422
101	0.33333	75.479	1025.419	1063.692	251.024	1047.471	1155.169	113.726	1133.156	1142.809	166.440	1026.812	1011.980	123.733	999.761	1191.071	183.407	948.235	1098.312
102	0.33667	75.407	1024.843	1062.980	252.796	1044.764	1155.782	115.295	1131.648	1144.068	166.591	1026.208	1011.695	125.271	997.226	1190.929	183.089	947.574	1098.154
103	0.34000	75.398	1024.230	1062.279	252.553	1043.689	1156.077	115.136	1131.944	1142.328	166.809	1025.479	1011.427	122.025	998.592	1190.178	182.824	946.832	1098.012
104	0.34333	75.424	1023.615	1061.574	252.617	1042.399	1156.305	115.397	1130.261	1143.411	167.039	1024.867	1011.230	124.145	995.817	1190.280	182.672	946.007	1097.878
105	0.34667	75.441	1022.874	1061.043	249.229	1044.336	1156.047	112.382	1130.556	1140.901	167.312	1024.106	1011.113	120.630	997.193	1189.498	182.414	945.309	1097.836
106	0.35000	75.360	1022.209	1060.556	248.932	1043.438	1156.346	115.885	1130.355	1142.704	167.537	1023.322	1010.922	120.523	996.319	1189.339	182.219	944.538	1097.833
107	0.35333	75.408	1021.474	1060.111	248.644	1042.674	1156.759	111.953	1129.046	1140.502	167.609	1022.766	1010.712	119.980	995.597	1189.003	182.021	943.780	1097.856
108	0.35667	75.443	1020.727	1059.640	250.317	1040.206	1157.486	113.369	1128.348	1140.592	167.977	1021.828	1010.740	119.371	994.926	1188.779	181.936	943.104	1097.881
109	0.36000	75.598	1019.916	1059.149	250.340	1039.158	1157.817	113.476	1126.627	1141.610	168.381	1020.920	1010.823	121.522	992.190	1188.953	181.988	942.360	1097.918
110	0.36333	75.727	1019.116	1058.769	250.445	1038.038	1158.239	113.561	1125.740	1141.688	168.666	1020.240	1010.837	121.433	991.219	1188.824	182.006	941.651	1097.899
111	0.36667	75.813	1018.343	1058.484	250.336	1037.359	1158.412	113.469	1124.928	1141.509	169.047	1019.284	1010.943	121.375	990.254	1188.636	181.908	940.947	1098.043
112	0.37000	75.857	1017.590	1058.307	250.127	1036.667	1158.704	113.263	1124.186	1141.559	169.142	1018.755	1010.986	121.280	989.477	1188.623	181.854	940.255	1098.259
113	0.37333	75.829	1016.816	1058.221	250.135	1035.823	1159.018	113.247	1123.423	1141.558	169.388	1017.883	1011.123	121.045	988.693	1188.714	181.821	939.547	1098.387
114	0.37667	75.914	1016.002	1058.079	250.044	1035.167	1159.529	113.652	1124.520	1141.078	169.559	1017.114	1011.295	120.883	987.926	1188.764	181.936	938.887	1098.642
115	0.38000	76.036	1015.191	1058.000	246.515	1037.623	1159.220	113.493	1123.810	1141.119	169.729	1016.466	1011.384	117.277	990.054	1188.164	182.087	938.025	1098.919
