FILE_VERSION	2.0.0
NO_OF_FRAMES	16296
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	300
DESCRIPTION	--
TIME_STAMP	2026-08-06, 08:59:33.376	5996.27357670
DATA_INCLUDED	6D
BODY_NAMES	handball_6
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	handball_6 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
58	0.19000	188.55164	1045.47918	1119.51109	-52.88695	-41.46144	139.78764	2.15283	-0.57229	-0.01365	-0.81994	-0.48383	-0.80167	0.35104	-0.66212	0.59761	0.45218	
59	0.19333	187.67780	1045.27617	1119.73736	-52.94998	-41.37827	139.70634	2.18581	-0.57233	-0.01275	-0.81992	-0.48526	-0.80074	0.35118	-0.66103	0.59887	0.45210	
60	0.19667	186.89954	1045.00793	1119.95346	-52.91227	-41.29656	139.75735	2.14525	-0.57348	-0.01227	-0.81913	-0.48536	-0.80041	0.35180	-0.65996	0.59932	0.45306	
61	0.20000	186.06854	1044.73322	1120.16356	-53.00393	-41.19237	139.71173	2.13939	-0.57401	-0.01211	-0.81876	-0.48659	-0.79915	0.35296	-0.65859	0.60101	0.45283	
62	0.20333	185.16227	1044.46072	1120.25185	-53.12975	-41.08279	139.57452	2.24757	-0.57380	-0.01112	-0.81892	-0.48878	-0.79766	0.35331	-0.65715	0.60301	0.45226	
63	0.20667	183.49646	1044.07347	1120.30530	-52.83363	-41.64017	139.93036	2.32599	-0.57191	-0.01631	-0.82016	-0.48107	-0.80316	0.35143	-0.66445	0.59554	0.45149	
64	0.21000	182.69833	1043.84340	1120.41889	-52.77641	-41.49932	139.95105	2.28397	-0.57333	-0.01466	-0.81919	-0.48191	-0.80256	0.35164	-0.66261	0.59639	0.45307	
65	0.21333	181.58989	1043.68874	1120.40580	-52.89358	-41.39507	139.76251	2.33851	-0.57266	-0.01286	-0.81969	-0.48458	-0.80119	0.35111	-0.66125	0.59827	0.45257	
66	0.21667	180.69927	1043.42643	1120.39092	-52.99240	-41.21734	139.63319	2.30896	-0.57312	-0.01105	-0.81939	-0.48719	-0.79941	0.35155	-0.65892	0.60069	0.45277	
67	0.22000	179.76279	1043.11903	1120.44127	-53.04889	-41.11291	139.52710	2.32711	-0.57313	-0.00955	-0.81941	-0.48903	-0.79837	0.35136	-0.65754	0.60209	0.45290	
68	0.22333	179.54830	1042.95297	1120.45471	-53.42112	-40.28114	139.00325	2.26283	-0.57578	-0.00092	-0.81760	-0.50046	-0.79038	0.35333	-0.64654	0.61262	0.45462	
69	0.22667	178.60439	1042.66705	1120.34125	-53.54177	-40.13696	138.82529	2.21506	-0.57545	0.00097	-0.81784	-0.50332	-0.78862	0.35321	-0.64462	0.61488	0.45430	
70	0.23000	177.55887	1042.51244	1120.23214	-53.66188	-39.95359	138.61499	2.24146	-0.57514	0.00363	-0.81805	-0.50679	-0.78657	0.35281	-0.64217	0.61749	0.45423	
71	0.23333	176.51804	1042.27446	1120.13773	-53.67607	-39.77722	138.47903	2.25102	-0.57541	0.00672	-0.81783	-0.50946	-0.78521	0.35200	-0.63980	0.61920	0.45524	
